#ARTIST:Busted
#TITLE:Britney
#MP3:Busted - Britney.mp3
#CREATOR:seanie627
#YEAR:2002
#LANGUAGE:English
#BPM:370.07
#GAP:8980
#VIDEO:v=9Y9XZNTaTB0,co=busted-65aa5a4a438d9.jpg,bg=busted-5002a9ba0c232.jpg
#END:186000
: 2949 4 6 You 
: 2957 4 9 drive 
: 2965 4 11 me 
* 2973 12 11 cra
: 2990 9 13 zy 
- 3000
: 3000 4 4 You 
: 3008 8 14 know 
: 3023 7 13 that
: 3031 4 11 ~ 
: 3039 7 11 I
: 3047 4 9 ~ 
: 3055 10 9 won’t 
: 3071 12 14 stop 
: 3088 7 13 un
: 3096 4 11 ~ 
: 3104 5 11 til
: 3110 4 9 ~ 
: 3120 4 9 I’ve 
: 3128 4 13 got 
: 3136 1 9 you
: 3138 14 11 ~ 
- 3154
: 3194 6 9 I 
: 3202 7 9 want
: 3210 4 4 ~ 
: 3218 10 4 you, 
: 3234 7 13 Bri
: 3242 4 11 ~ 
: 3250 7 11 te
: 3258 4 9 ~ 
: 3266 10 9 ney 
- 3278
: 3288 1 9 Ah, 
: 3290 3 13 what 
: 3294 2 16 the 
: 3298 6 14 hell 
: 3306 6 13 can 
: 3316 1 11 I
: 3318 2 9 ~ 
: 3324 12 9 do? 
- 3338
: 3354 1 9 Ah, 
: 3356 3 13 to 
: 3360 2 16 get 
: 3364 6 14 clo
: 3372 6 13 ser 
: 3380 1 11 to
: 3382 2 9 ~ 
: 3388 12 9 you 
- 3402
: 3420 1 9 Ah, 
: 3422 3 13 you 
: 3426 2 16 can 
: 3430 6 14 run, 
: 3438 4 13 you 
: 3446 1 11 can’t
: 3448 2 9 ~ 
* 3454 10 9 hide 
- 3466
: 3471 4 9 I’ll 
: 3477 6 13 make 
: 3485 4 16 you 
: 3493 6 14 feel 
: 3502 6 13 good 
: 3510 1 11 in
: 3512 2 9 ~ 
: 3518 3 11 side
: 3522 6 9 ~ 
- 3530
: 3548 1 9 Ah, 
: 3550 3 13 what 
: 3554 2 16 the 
: 3558 6 14 hell 
: 3566 4 13 can 
: 3576 1 11 I
: 3578 2 9 ~ 
: 3584 12 9 do? 
- 3598
: 3614 1 9 Ah, 
