#ARTIST:The Gaslight Anthem
#TITLE:Blue Dahlia
#MP3:The Gaslight Anthem - Blue Dahlia.mp3
#CREATOR:juhuu
#YEAR:2012
#LANGUAGE:English
#BPM:336.2
#GAP:26170
#VIDEO:a=_DuFXs7EOTE,co=handwritten-5af313027770b.jpg,bg=gaslight-anthem-the-4fe0e468d6454.jpg
: 3308 6 -7 by, 
: 3316 5 -5 just 
: 3322 3 -7 to 
: 3326 7 -9 come 
: 3334 6 -9 clean. 
- 3340
: 3342 3 -9 Eve
: 3346 3 -9 ry 
: 3350 7 -2 street 
: 3358 7 -2 light, 
: 3366 6 -2 a 
: 3374 4 0 re
: 3380 4 -2 min
: 3386 6 -9 der. 
- 3414
: 3446 3 -9 And 
: 3450 7 -7 all 
: 3458 5 -7 those 
: 3464 3 -9 a
: 3468 3 -7 po
: 3472 7 -9 lo
: 3480 16 -5 gies 
- 3506
: 3534 3 -5 And 
: 3538 3 -7 the 
: 3542 16 -9 night 
: 3574 3 -9 was 
: 3578 7 -7 lone
: 3586 7 -7 ly 
: 3594 7 -7 next 
: 3602 3 -9 to 
: 3606 20 -5 me. 
- 3636
: 3664 3 -5 E
: 3668 3 -7 ven 
: 3672 3 -9 the 
: 3676 12 -9 night 
: 3708 3 -9 was 
: 3712 5 -7 lone
: 3718 7 -7 ly 
: 3726 8 -7 next 
: 3736 3 -9 to 
: 3740 18 -9 me. 
- 3768
: 3786 3 7 Where’d 
: 3790 3 7 you 
: 3794 3 7 get 
: 3798 11 5 them 
* 3810 38 3 scars? 
- 3852
: 3854 3 7 How 
: 3858 3 7 blue 
: 3862 5 5 is 
: 3868 15 3 your 
* 3884 32 3 heart? 
- 3926
: 3930 3 3 Is 
: 3934 3 5 it 
: 3938 7 7 sad 
: 3946 3 7 e
: 3950 7 7 nough 
: 3958 7 5 to 
* 3966 5 5 bre
* 3972 4 3 ~ak, 
- 3983
: 3986 3 3 She 
: 3990 4 3 said 
: 3996 5 5 “It’s 
: 4002 7 7 sad 
: 4010 3 7 e
: 4014 7 8 nough 
: 4022 7 7 to 
* 4030 5 7 brea
* 4036 6 5 ~k.” 
- 4044
: 4046 3 10 How 
: 4050 5 10 long 
: 4056 5 8 was 
* 4062 7 7 your 
* 4070 5 5 li
* 4076 32 3 ~fe? 
- 4118
: 4122 3 10 Was 
: 4126 3 10 it 
: 4130 7 10 cold 
: 4138 3 7 and 
: 4142 7 7 strange 
: 4150 7 5 like 
: 4158 12 3 mine? 
- 4182
: 4186 3 3 Are 
: 4190 3 5 you 
: 4194 7 7 man 
: 4202 3 7 e
: 4206 7 7 nough 
: 4214 6 5 to 
: 4222 7 5 lay 
: 4230 8 3 here? 
- 4240
: 4242 5 10 She 
: 4248 5 10 said 
: 4254 3 10 “I’m 
: 4258 7 10 man 
: 4266 3 8 e
: 4270 7 7 nough, 
: 4278 7 7 my 
: 4286 7 7 ba
: 4294 7 5 by, 
- 4301
: 4302 3 3 Come 
: 4306 4 5 see 
: 4312 5 3 a
* 4318 19 10 bout 
: 4338 3 7 me
: 4342 3 5 ~
: 4346 8 3 ~. 
- 4376
: 4430 3 3 Come 
: 4434 5 5 see 
: 4440 5 3 a
* 4446 21 10 bout 
: 4468 3 7 me
: 4472 3 5 ~
: 4476 27 3 ~. 
- 4503
* 4504 3 3 Oh 
* 4508 7 5 oh 
* 4516 22 7 oh 
- 4548
: 4564 3 3 Come 
: 4568 5 7 see 
: 4574 5 5 a
: 4580 12 3 bout 
: 4594 18 3 me. 
- 4634
: 4696 3 3 Come 
: 4700 7 5 see 
: 4708 3 3 a
* 4712 17 10 bout 
: 4730 5 7 me
: 4736 5 5 ~
: 4742 22 3 ~. 
- 4786
: 4828 3 3 Come 
: 4832 7 5 see 
: 4840 5 3 a
