#ARTIST:Jain
#TITLE:Makeba
#MP3:Jain - Makeba.mp3
#CREATOR:mustangfred
#GENRE:Pop
#YEAR:2015
#LANGUAGE:English
#BPM:232.32
#GAP:41000
#VIDEO:v=59Q_lhgGANc,co=zanaka-569bb12640ae3.jpg,bg=jain-569bb2d4843aa.jpg
: 1539 2 5 ke
: 1542 1 5 ba
: 1545 3 2 ~, 
: 1549 2 2 ma
: 1554 2 5 ke
: 1558 1 5 ba
: 1560 1 2 ~ 
: 1562 1 2 ma 
: 1565 1 2 che 
: 1570 2 5 bel
: 1574 2 4 la
: 1578 1 2 ~ 
- 1580
: 1582 1 2 Can 
: 1584 1 2 I 
: 1586 1 2 get 
: 1588 1 2 a 
F 1590 3 7 ooh 
F 1595 2 17 wee? 
- 1598
: 1600 2 2 Ma
: 1604 1 5 ke
: 1606 2 5 ba
: 1610 2 2 ~, 
: 1613 2 2 makes 
: 1618 2 5 my 
: 1622 3 0 bo
: 1626 1 0 dy 
: 1628 3 0 dance 
: 1633 2 0 for
: 1636 1 -1 ~ 
: 1638 5 -1 you 
- 1653
: 1664 1 2 Ma
: 1667 2 5 ke
: 1670 2 5 ba
: 1674 2 2 ~, 
: 1677 2 2 ma
: 1682 2 5 ke
: 1686 1 4 ba
: 1688 1 2 ~ 
: 1690 1 2 ma 
: 1692 2 2 che 
: 1697 4 5 bel
: 1702 2 4 la
: 1705 1 2 ~ 
- 1707
: 1709 1 2 Can 
: 1711 1 2 I 
: 1713 1 2 get 
: 1715 1 2 a 
F 1718 4 7 ooh 
F 1724 1 7 wee? 
- 1726
: 1728 2 2 Ma
: 1732 1 5 ke
: 1735 1 5 ba
: 1738 2 2 ~, 
: 1742 1 2 makes 
: 1746 2 4 my 
: 1750 3 0 bo
: 1754 1 0 dy 
: 1756 2 0 dance 
: 1761 1 0 for
: 1764 1 -1 ~ 
: 1766 8 -5 you 
- 1784
: 1792 2 2 Ma
: 1796 1 5 ke
: 1798 2 5 ba
: 1802 2 2 ~, 
: 1806 1 2 ma
: 1810 2 5 ke
: 1814 1 4 ba
: 1816 2 2 ~ 
: 1819 1 2 ma 
: 1821 2 2 che 
: 1826 3 5 bel
: 1831 2 4 la
: 1835 1 2 ~ 
- 1837
: 1839 1 2 Can 
: 1841 1 2 I 
: 1843 1 2 get 
: 1845 1 2 a 
F 1847 3 7 ooh 
F 1852 1 17 wee? 
- 1854
: 1856 2 2 Ma
: 1860 1 5 ke
: 1863 2 5 ba,
: 1867 1 2 ~ 
: 1869 2 2 makes 
: 1874 2 5 my 
: 1878 3 0 bo
: 1882 1 0 dy 
: 1884 3 0 dance 
: 1890 1 0 for
: 1892 1 -1 ~ 
: 1894 5 -1 you 
- 1909
: 1920 1 2 Ma
: 1923 2 5 ke
: 1926 1 5 ba
: 1929 2 2 ~, 
: 1933 2 2 ma
: 1938 2 5 ke
: 1942 1 4 ba
: 1944 1 2 ~ 
: 1946 1 2 ma 
: 1948 2 2 che 
: 1953 4 5 bel
: 1958 2 4 la
: 1961 1 2 ~ 
- 1963
: 1965 1 2 Can 
: 1967 1 2 I 
: 1969 1 2 get 
: 1971 1 2 a 
F 1974 4 7 ooh 
F 1980 1 17 wee? 
- 1982
: 1984 2 2 Ma
: 1988 2 5 ke
: 1991 1 5 ba
: 1994 2 2 ~, 
: 1998 2 2 makes 
: 2002 2 4 my 
: 2006 3 0 bo
: 2010 1 0 dy 
: 2012 3 0 dance 
: 2017 2 0 for
: 2020 1 -1 ~ 
: 2022 6 -5 you 
E
