#ARTIST:OK Go
#TITLE:Here It Goes Again
#MP3:OK Go - Here It Goes Again.mp3
#CREATOR:B3rnh4rd
#YEAR:2006
#LANGUAGE:English
#BPM:396.09
#GAP:19380
#VIDEO:v=dTAAsCNK7RA,co=here-it-goes-again-609c24ffd6778.jpeg,bg=ok-go-4f3ad67802006.jpg
: 3281 2 3 it 
: 3287 4 3 goes 
: 3292 2 -3 a
: 3296 5 0 gain 
- 3303
: 3304 3 3 I 
: 3310 3 3 should 
: 3314 2 3 have 
: 3319 6 3 known, 
: 3331 3 0 should 
: 3335 2 -3 have 
: 3342 7 3 known, 
: 3353 3 0 should 
: 3357 2 -3 have 
: 3363 4 3 known 
: 3368 2 -3 a
: 3372 7 0 gain 
- 3381
: 3401 3 3 But 
: 3406 4 3 here 
: 3411 3 3 it 
: 3417 4 3 goes 
: 3423 1 -2 a
: 3426 5 0 gain 
- 3433
: 3434 4 5 Oh 
: 3439 4 5 here 
: 3444 2 5 it 
: 3450 3 7 goe
: 3461 3 0 ~s, 
: 3477 4 5 oh 
: 3482 4 5 here 
: 3487 3 5 it 
: 3493 4 7 goe
: 3505 2 0 ~s 
- 3509
: 3531 4 5 Oh 
: 3536 5 5 here 
: 3542 2 5 it 
: 3547 4 7 goes 
: 3552 2 5 a
: 3556 5 7 gain 
- 3562
: 3563 4 5 I 
: 3569 4 5 should 
: 3574 2 5 have 
: 3580 3 7 kno
: 3590 3 0 ~wn, 
: 3606 3 5 I 
: 3613 4 5 should 
: 3618 2 5 have 
: 3624 5 7 kno
: 3637 5 0 ~wn 
- 3644
: 3661 5 5 But 
: 3667 4 5 here 
: 3672 2 5 it 
: 3678 4 7 goes 
: 3683 2 5 a
: 3687 5 7 gain 
- 3693
: 3694 5 7 Oh 
: 3700 4 7 here 
: 3705 4 7 it, 
: 3716 4 7 oh 
: 3721 5 7 here 
: 3727 4 7 it, 
: 3737 5 7 oh 
: 3743 4 7 here 
: 3748 4 7 it, 
: 3759 4 7 oh 
: 3764 5 7 here 
: 3770 4 7 it 
- 3776
: 3791 5 7 Oh 
: 3797 3 7 here 
: 3801 3 7 it 
: 3808 10 7 goes 
- 3820
: 3824 2 7 I 
: 3830 4 7 should 
: 3835 4 7 have, 
: 3846 3 7 I 
: 3852 4 7 should 
: 3857 5 7 have, 
: 3868 2 7 I 
: 3874 3 7 should 
: 3878 4 7 have, 
: 3889 2 7 I 
: 3895 4 7 should 
: 3900 6 7 have 
- 3908
: 3921 2 7 I 
: 3927 1 7 should 
: 3929 2 5 have 
: 3935 4 7 kno
: 3945 4 0 ~wn 
- 3951
: 3955 10 4 Oh, 
: 3977 12 5 oh, 
: 3998 4 9 yeah, 
: 4003 5 5 I 
: 4012 2 5 should 
: 4015 2 5 have 
: 4020 4 7 kno
: 4032 4 0 ~wn 
- 4038
: 4050 5 7 Oh 
: 4056 3 7 here 
: 4060 2 7 it 
: 4066 11 7 goes 
- 4079
: 4098 9 7 Oh, 
: 4125 5 7 oh 
: 4131 4 7 here 
: 4136 2 7 it 
: 4142 4 7 goes 
: 4147 2 7 a
: 4150 9 7 gain 
E
