#ARTIST:Nico Santos
#TITLE:Rooftop
#MP3:Nico Santos - Rooftop.mp3
#CREATOR:Mamba99
#YEAR:2017
#LANGUAGE:English
#BPM:328
#GAP:12190
#VIDEO:v=il3IbtDqgqI,co=rooftop-691f7cf7ebc67.jpg
* 2500 2 14 k
* 2504 2 12 n
* 2508 4 9 ow 
- 2514
: 2524 4 19 I’m 
: 2532 2 19 shou
: 2536 2 19 tin’ 
: 2540 2 19 from 
: 2544 2 19 the 
: 2548 4 21 roof
: 2556 4 16 top, 
: 2564 2 14 ba
: 2568 2 16 by 
- 2572
: 2580 2 12 Come 
: 2584 2 14 pick 
: 2588 2 16 me 
: 2592 6 19 up, 
: 2604 2 12 come 
: 2608 2 14 pick 
: 2612 2 16 me 
: 2616 6 19 up 
- 2624
: 2628 2 16 Pick 
: 2632 4 16 me 
: 2640 6 14 up 
: 2652 2 12 when 
: 2656 2 9 I’m 
: 2660 2 12 fe
: 2664 2 11 e
: 2668 4 12 ling 
: 2676 6 12 low 
- 2684
: 2692 2 16 Pick 
: 2696 4 16 me 
: 2704 6 14 up 
: 2716 4 12 and 
: 2724 4 12 show 
: 2732 4 14 me 
: 2740 2 12 ho
: 2744 2 9 me 
- 2748
: 2756 2 16 All 
: 2760 4 16 my 
: 2768 4 14 sen
: 2776 2 11 ses 
: 2780 4 12 just 
: 2788 4 12 need 
: 2796 2 12 t
: 2800 2 9 o 
: 2804 2 12 kn
: 2808 4 14 ow 
- 2814
: 2820 2 16 Why 
: 2824 4 16 your 
: 2832 6 14 heart 
: 2852 2 16 feels 
: 2856 4 16 like 
: 2864 6 14 gold 
- 2872
: 2880 2 9 So 
: 2884 2 16 pick 
: 2888 4 16 me 
: 2896 6 14 up 
: 2908 2 12 when 
: 2912 2 9 I’m 
: 2916 2 12 fe
: 2920 2 11 e
: 2924 4 12 ling 
: 2932 6 12 low 
- 2940
: 2948 2 16 Pick 
: 2952 4 16 me 
: 2960 6 14 up 
: 2972 4 12 and 
: 2980 4 12 show 
: 2988 4 14 me 
: 2996 2 12 ho
: 3000 2 9 me 
- 3004
* 3012 2 16 All 
* 3016 4 16 my 
* 3024 4 19 sen
* 3032 2 16 ses 
* 3036 4 16 just 
* 3044 4 14 need 
* 3052 2 12 to 
* 3056 4 14 kn
* 3064 4 14 ow 
- 3070
: 3076 2 16 Why 
: 3080 4 16 your 
: 3088 6 14 heart 
: 3108 2 16 feels 
: 3112 4 16 like 
: 3120 6 14 gold 
- 3128
: 3164 4 19 I’m 
: 3172 2 19 shou
: 3176 2 19 tin’ 
: 3180 2 19 from 
: 3184 2 19 the 
: 3188 4 21 roof
: 3196 4 16 top, 
: 3204 2 14 ba
: 3208 2 16 by 
- 3212
: 3228 4 19 Tell 
: 3236 4 19 me, 
: 3244 2 19 will 
: 3248 2 19 you 
: 3252 4 21 come 
: 3260 4 16 and 
: 3268 2 14 save 
: 3272 4 12 me
: 3280 4 9 ? 
- 3286
: 3292 4 19 I’m 
: 3300 2 19 shou
: 3304 2 19 tin’ 
: 3308 2 19 from 
: 3312 2 19 the 
: 3316 4 21 roof
: 3324 4 16 top, 
: 3332 2 14 ba
: 3336 2 16 by 
- 3340
: 3348 2 12 Come 
: 3352 2 14 pick 
: 3356 2 16 me 
: 3360 6 19 up, 
: 3372 2 12 come 
: 3376 2 14 pick 
: 3380 2 16 me 
: 3384 6 19 up 
- 3392
: 3400 4 14 Are 
: 3408 4 9 you 
: 3416 4 16 just 
: 3424 2 16 a 
: 3428 2 16 lo
: 3432 2 16 ver 
: 3436 4 9 or 
: 3448 4 16 my 
: 3456 2 16 twins 
: 3460 2 17 so
: 3464 6 19 ul? 
- 3472
: 3480 2 16 Fi
: 3484 2 16 re 
: 3488 2 16 the 
: 3492 4 16 shots 
: 3500 2 16 and 
: 3504 4 16 I 
: 3512 2 14 need 
: 3520 2 12 to 
: 3524 2 14 k
: 3528 2 12 n
: 3532 4 9 ow 
- 3538
* 3548 4 19 I’m 
* 3556 2 19 shou
* 3560 2 19 tin’ 
* 3564 2 19 from 
* 3568 2 19 the 
* 3572 4 21 roof
* 3580 4 16 top, 
* 3588 2 14 ba
* 3592 2 16 by 
- 3596
: 3604 2 12 Come 
: 3608 2 14 pick 
: 3612 2 16 me 
: 3616 6 19 up, 
: 3628 2 12 come 
: 3632 2 14 pick 
: 3636 2 16 me 
: 3640 4 19 up 
- 3646
: 3648 2 12 So 
: 3652 2 16 pick 
: 3656 4 16 me 
: 3664 6 14 up 
: 3676 2 12 when 
: 3680 2 12 I’m 
: 3684 4 12 feel
: 3692 4 12 ing 
: 3700 6 12 low 
- 3708
: 3716 2 16 Pick 
: 3720 4 16 me 
: 3728 6 14 up 
: 3740 4 12 and 
: 3748 4 12 show 
: 3756 4 16 me 
: 3764 2 12 ho
: 3768 4 9 me 
- 3774
: 3780 2 16 All 
: 3784 4 16 my 
: 3792 4 19 sen
: 3800 2 16 ses 
: 3804 4 16 just 
: 3812 4 14 need 
: 3820 2 12 to 
: 3824 2 12 kn
: 3828 4 14 ow 
- 3834
: 3844 2 16 Why 
: 3848 4 16 your 
: 3856 6 14 heart 
: 3876 2 16 feels 
: 3880 4 16 like 
: 3888 6 14 gold 
- 3896
* 3908 2 16 Feels 
* 3912 4 16 like 
* 3920 4 12 gold 
E
