#ARTIST:Patrice Rushen
#TITLE:Forget Me Nots
#MP3:Patrice Rushen - Forget Me Nots.mp3
#CREATOR:Leroidukitch
#GENRE:Funk
#YEAR:1982
#LANGUAGE:English
#BPM:228.66
#GAP:19810
#VIDEO:v=jtMHsNhQBvI,co=https://www.vinylwhizrecords.com/data/vinylwhiz/product/20190610_b0f566.jpg
: 3114 1 9 ty 
: 3118 1 4 ba
: 3120 1 6 ~
: 3122 1 4 ~
: 3126 2 4 by
: 3129 2 1 ~ 
: 3134 1 -1 I
: 3136 1 1 ~
: 3138 1 -1 ~ 
: 3141 4 -1 still 
: 3150 1 -1 care
: 3152 1 1 ~
: 3154 2 -3 ~
: 3157 2 -1 ~
: 3160 1 1 ~ 
- 3163
: 3201 3 6 Send
: 3205 2 6 ing 
: 3209 4 9 you 
: 3215 1 9 for
: 3217 2 13 get 
: 3221 1 13 me 
: 3225 1 11 nots
: 3227 1 13 ~ 
- 3230
F 3263 1 4 To 
F 3265 2 13 help 
F 3269 1 14 me 
F 3272 1 11 to
F 3274 1 13 ~ 
F 3277 1 9 re
F 3280 4 11 mem
F 3289 1 11 ber
F 3291 1 13 ~
F 3293 2 11 ~ 
E
