#ARTIST:Letters To Cleo
#TITLE:I See
#MP3:Letters To Cleo - I See.mp3
#CREATOR:Globule
#COVER:Letters To Cleo - I See [CO].jpg
#BACKGROUND:Letters To Cleo - I See [BG].jpg
#GENRE:Alternative Rock
#YEAR:1998
#LANGUAGE:English
#BPM:225.08
#GAP:19360
#VIDEO:v=YQLo78kj860,co=https://images.genius.com/502ed5f529bc47eab089fd55a0967d41.600x590x1.jpg,bg=letters-to-cleo-51fff5e8826b9.jpg
: 2500 1 4 I 
: 2502 2 6 see, 
: 2506 1 4 I 
: 2508 2 6 see, 
: 2512 1 4 I 
: 2514 2 6 see, 
: 2518 1 4 I 
: 2520 1 6 see 
- 2522
: 2524 1 6 This 
: 2528 2 6 world 
: 2532 1 4 go 
: 2534 3 4 in 
: 2540 1 4 cir
: 2542 1 4 cles 
: 2544 1 4 a
: 2546 2 2 round 
: 2550 1 2 all 
: 2552 1 2 a
: 2554 3 2 round 
* 2560 1 7 me 
- 2562
: 2564 1 4 I’ll 
: 2566 2 6 end 
: 2570 1 4 up 
: 2572 3 6 mad 
: 2576 1 4 be
: 2578 3 6 fore 
: 2582 3 6 life 
: 2586 1 4 is 
: 2588 1 6 through 
: 2590 1 4 with 
: 2592 3 2 me
: 2596 1 0 ~ 
- 2602
: 2604 6 0 Guilt
: 2612 4 -1 y 
: 2620 1 6 old
: 2622 1 7 ~
: 2624 1 6 ~ 
- 2626
: 2628 1 4 I 
: 2630 2 6 see, 
: 2634 1 4 I 
: 2636 2 6 see, 
: 2640 1 4 I 
: 2642 2 6 see, 
: 2646 1 4 I 
: 2648 1 6 see 
- 2650
: 2652 1 6 This 
: 2656 2 6 world 
: 2660 1 4 go 
: 2662 3 4 in 
: 2668 1 4 cir
: 2670 1 4 cles 
: 2672 1 4 a
: 2674 2 2 round 
: 2678 1 2 all 
: 2680 1 2 a
: 2682 3 2 round 
* 2688 1 7 me 
- 2690
: 2692 1 4 I’ll 
: 2694 2 6 end 
: 2698 1 4 up 
: 2700 3 6 mad 
: 2704 1 4 be
: 2706 3 6 fore 
: 2710 3 6 life 
: 2714 1 4 is 
: 2716 1 6 through 
: 2718 1 4 with 
: 2720 3 2 me
: 2724 1 0 ~ 
- 2733
: 2736 1 -1 Guilt
: 2738 5 0 ~
: 2744 3 -1 y 
: 2748 1 6 old
: 2750 1 7 ~
: 2752 11 6 ~
: 2764 3 4 ~ 
* 2768 1 4 me
* 2770 9 6 ~
* 2780 3 4 ~
* 2784 1 3 ~
* 2786 9 4 ~
* 2796 3 2 ~
* 2800 1 1 ~
* 2802 9 2 ~
* 2812 2 1 ~ 
E
