#ARTIST:Michael Schulte
#TITLE:For A Second
#MP3:Michael Schulte - For A Second.mp3
#CREATOR:Mamba99
#YEAR:2020
#LANGUAGE:English
#BPM:292
#GAP:9240
#VIDEO:v=2b9M2-eETgs,co=for-a-second-6769288eccf55.jpg,bg=schulte-michael-67c87bf2ecd76.jpg
: 2988 8 -8 o
: 3000 2 -10 ver 
- 3004
: 3016 2 -3 Oh
: 3020 2 -1 ~, 
: 3024 2 -1 I 
: 3028 2 -1 feel 
: 3032 2 -3 it’s 
: 3036 4 -3 hea
: 3044 4 -5 ven 
- 3050
* 3072 2 2 Oh
* 3076 2 7 ~
* 3080 4 9 ~, 
* 3088 2 9 just 
* 3092 2 9 for 
* 3096 2 7 a 
* 3100 4 7 se
* 3108 20 6 co
* 3132 20 7 ~nd 
- 3154
: 3168 4 6 If 
: 3176 2 6 lo
: 3180 2 7 ~ve 
: 3184 2 7 is 
: 3188 2 7 ma
: 3192 2 6 kin’ 
: 3196 4 6 me 
: 3204 2 6 thi
: 3208 2 4 ~s 
: 3212 8 4 drunk, 
: 3224 2 2 yeah 
- 3228
: 3240 2 6 I
: 3244 2 7 ~ 
: 3248 2 7 don’t 
: 3252 2 7 e
: 3256 2 6 ver 
: 3260 2 6 wan
: 3264 2 6 na 
: 3268 2 6 be
: 3272 2 4 ~ 
: 3276 8 4 so
: 3288 2 2 ber 
- 3292
: 3304 2 9 Oh
: 3308 2 11 ~, 
: 3312 2 11 I 
: 3316 2 11 feel 
: 3320 2 9 it’s 
: 3324 4 9 hea
: 3332 4 7 ven 
- 3338
: 3360 2 2 Oh
: 3364 2 7 ~
: 3368 4 9 ~, 
: 3376 2 9 just 
: 3380 2 9 for 
: 3384 2 7 a 
: 3388 4 7 se
: 3396 4 6 cond 
- 3402
: 3424 2 4 A 
: 3428 2 6 lit
: 3432 2 4 tle, 
: 3436 4 4 la-
: 3444 4 7 la-
: 3452 4 9 la, 
: 3464 4 4 la-
: 3472 4 7 la-
: 3480 4 9 la 
- 3486
* 3488 2 4 A 
* 3492 2 4 lit
* 3496 2 4 tle, 
* 3500 4 4 la-
* 3508 4 7 la-
* 3516 4 9 la, 
* 3528 4 4 la-
* 3536 4 7 la-
* 3544 4 9 la, 
* 3552 2 7 la 
* 3556 2 7 la 
- 3559
: 3560 2 9 Oh
: 3564 2 11 ~, 
: 3568 2 11 I 
: 3572 2 11 feel 
: 3576 2 9 it’s 
: 3580 4 9 hea
: 3588 4 7 ven 
- 3594
: 3616 2 2 Oh
: 3620 2 7 ~
: 3624 4 9 ~, 
: 3632 2 9 just 
: 3636 2 9 for 
: 3640 2 7 a 
: 3644 4 7 se
: 3652 4 6 cond 
E
