#ARTIST:Roger Whittaker
#TITLE:River Lady (A Little Goodbye)
#MP3:Roger Whittaker - River Lady (A Little Goodbye).mp3
#CREATOR:MasterChristian
#YEAR:1976
#LANGUAGE:English
#BPM:291.84
#GAP:9100
#VIDEO:a=ciuoKz19New,co=https://i.discogs.com/G9422BbxX3YeH0ydl6v9euC_96UE1rGWgcmJJB__m4I/rs:fit/g:sm/q:90/h:600/w:591/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0OTAx/NzYtMTU5MTcyNTQ3/Mi01MzEyLmpwZWc.jpeg
: 2227 3 2 zing 
- 2230
: 2231 2 2 Be
: 2234 2 2 fore 
: 2237 3 2 you 
: 2241 2 2 ev
: 2244 3 2 en 
: 2248 3 4 know 
: 2252 4 4 it, 
: 2259 2 4 the 
: 2262 6 4 old 
: 2269 6 4 girl’s 
: 2276 6 1 eas
: 2283 2 -3 ing. 
- 2285
: 2286 2 1 A
: 2289 4 1 way 
: 2294 2 0 from 
: 2297 5 1 her 
: 2303 9 1 berth, 
- 2316
: 2318 6 1 Round 
: 2325 3 1 by 
: 2329 3 1 the 
: 2333 6 4 point 
: 2340 3 4 and 
: 2344 6 4 out 
: 2351 2 2 of 
: 2354 6 1 our 
: 2361 9 -3 view. 
- 2380
: 2404 3 6 Off 
: 2408 2 5 in 
: 2411 3 6 the 
* 2415 13 9 mist 
: 2429 3 9 her 
: 2433 4 9 en
: 2438 5 9 gines 
: 2444 10 6 pound
: 2455 3 2 ing, 
- 2459
: 2461 4 2 Back 
: 2466 2 2 on 
: 2469 3 2 the 
: 2473 11 4 banks, 
: 2487 3 4 that 
: 2491 3 4 old 
: 2495 6 4 horn’s 
: 2502 6 1 sound
: 2509 4 -3 ing, 
- 2514
: 2516 2 1 A 
: 2519 3 1 lit
: 2523 3 1 tle 
: 2527 5 1 good-
: 2533 9 1 bye, 
: 2546 2 1 a 
: 2549 2 1 lit
: 2552 3 1 tle 
: 2556 5 1 I’ll 
: 2562 6 4 do 
: 2569 4 4 what 
: 2574 5 2 I 
: 2580 6 1 must 
: 2587 12 -3 do. 
- 2609
: 2630 2 -3 A 
: 2633 3 -3 lit
: 2637 3 -3 tle 
: 2641 5 -3 good-
: 2647 11 4 bye, 
: 2659 2 4 a 
: 2662 2 4 lit
: 2665 3 4 tle 
: 2669 6 4 I’ll 
: 2676 6 2 do 
: 2683 4 2 what 
: 2688 5 1 I 
: 2694 6 1 must 
: 2701 14 -3 do. 
- 2725
: 2746 4 4 Wa
: 2751 3 4 ter 
: 2755 6 4 turns 
* 2762 10 9 cold 
* 2773 3 9 and 
* 2777 6 9 gets 
* 2784 3 9 to 
: 2788 9 6 free
: 2798 3 2 zing 
- 2801
: 2802 2 2 Be
: 2805 2 2 fore 
: 2808 3 2 you 
: 2812 2 2 ev
: 2815 3 2 en 
: 2819 3 4 know 
: 2823 4 4 it, 
: 2830 2 4 the 
: 2833 4 4 old 
: 2838 6 4 girl’s 
: 2845 6 1 eas
: 2852 4 -3 ing. 
- 2856
: 2858 2 1 A
: 2861 3 1 way 
: 2865 2 0 from 
: 2868 6 1 her 
: 2875 7 1 berth, 
- 2887
: 2889 6 1 Round 
: 2896 3 1 by 
: 2900 3 1 the 
: 2904 6 4 point 
: 2911 3 4 and 
: 2915 5 4 out 
: 2921 2 2 of 
: 2924 7 1 our 
: 2932 9 -3 view. 
- 2951
: 2974 3 6 Off 
: 2978 3 5 in 
: 2982 3 6 the 
* 2986 13 9 mist 
* 3000 3 9 her 
* 3004 3 9 en
* 3008 6 9 gines 
: 3015 8 6 pound
: 3024 5 2 ing, 
- 3030
: 3032 3 2 Back 
: 3036 2 2 on 
: 3039 3 2 the 
: 3043 11 4 banks, 
: 3057 3 4 that 
: 3061 4 4 old 
: 3066 6 4 horn’s 
: 3073 5 1 sound
: 3079 4 -3 ing, 
- 3084
: 3086 2 1 A 
: 3089 3 1 lit
: 3093 3 1 tle 
: 3097 4 1 good-
: 3102 9 1 bye, 
: 3115 2 1 a 
: 3118 2 1 lit
: 3121 3 1 tle 
: 3125 6 1 I’ll 
: 3132 6 4 do 
: 3139 3 4 what 
: 3143 6 2 I 
: 3150 6 1 must 
* 3157 11 -3 do. 
- 3178
: 3200 2 -3 A 
: 3203 3 -3 lit
: 3207 3 -3 tle 
: 3211 5 -3 good-
: 3217 12 4 bye, 
: 3230 3 4 a 
: 3234 2 4 lit
: 3237 2 4 tle 
: 3240 6 4 I’ll 
: 3247 5 2 do 
: 3253 4 2 what 
: 3258 6 1 I 
: 3265 6 1 must 
: 3272 12 -3 do. 
- 3294
: 3315 5 4 Wa
: 3321 3 4 ter 
: 3325 6 4 turns 
* 3332 9 9 cold 
: 3342 3 9 and 
: 3346 6 9 gets 
: 3353 4 9 to 
* 3358 9 6 free
: 3368 2 2 zing 
- 3370
: 3371 2 2 Be
: 3374 2 2 fore 
: 3377 3 2 you 
: 3381 3 2 ev
: 3385 2 2 en 
: 3388 3 4 know 
: 3392 4 4 it, 
: 3399 2 4 the 
: 3402 4 4 old 
: 3407 6 4 girl’s 
: 3414 6 1 eas
: 3421 3 -3 ing. 
- 3425
: 3427 2 1 A
: 3430 3 1 way 
: 3434 2 0 from 
: 3437 6 1 her 
: 3444 7 1 berth, 
- 3456
: 3458 6 1 Round 
: 3465 3 1 by 
: 3469 3 1 the 
: 3473 7 4 point 
: 3481 3 4 and 
: 3485 6 4 out 
: 3492 2 2 of 
: 3495 6 1 our 
: 3502 8 -3 view. 
E
