#ARTIST:Escape The Fate
#TITLE:Harder Than You Know
#MP3:Escape The Fate - Harder Than You Know.mp3
#CREATOR:Stickmanskiller
#YEAR:2008
#LANGUAGE:English
#BPM:260
#GAP:19000
#VIDEO:a=UMMuGuli6fg,co=this-war-is-ours-5365517b7b126.jpg,bg=escape-the-fate-615c0357db854.jpg
: 3820 4 9 Not 
: 3830 4 11 lo
: 3840 4 10 ving 
: 3846 4 10 you 
: 3856 4 8 is 
: 3866 4 7 har
: 3876 4 7 der 
: 3886 4 9 than 
: 3894 4 7 you 
: 3902 4 16 kn
: 3908 4 5 ow 
- 3914
: 3948 4 10 Girl 
: 3954 4 10 you’re 
: 3960 3 9 dri
: 3964 4 9 ving 
: 3970 4 10 me 
: 3978 4 9 so 
* 3988 19 10 cra
* 4008 12 4 zy 
E
