#ARTIST:Tina Turner
#TITLE:What You Get Is What You See
#MP3:Tina Turner - What You Get Is What You See.mp3
#CREATOR:Buberatz, asb
#GENRE:Rock
#YEAR:1986
#LANGUAGE:English
#BPM:312.56
#GAP:18790
#VIDEO:v=e0GVixJvt-g,co=what-you-get-is-what-you-see-55ba715889e86.jpg,bg=turner-tina-4ffabb7c55864.jpg,medley=911-1374
F 3571 3 12 Yeah! 
- 3576
: 3595 1 12 What 
: 3599 1 12 you 
: 3603 6 12 get 
: 3612 1 10 i
: 3614 2 10 ~s 
: 3618 5 10 what 
: 3626 2 9 you
: 3629 2 7 ~ 
: 3635 5 7 see 
- 3642
: 3655 1 9 Ai
: 3657 8 10 ~n’t 
: 3667 2 10 no
: 3671 2 10 thing 
: 3675 1 9 mo
: 3678 1 5 ~re 
: 3682 7 5 to 
: 3691 2 7 it 
- 3695
: 3718 4 12 And 
: 3723 1 12 if 
: 3726 2 12 you 
: 3730 2 12 wan
: 3734 2 10 na 
: 3738 3 10 love 
: 3742 2 10 a 
: 3746 3 10 wo
: 3750 3 9 man 
: 3754 2 9 li
: 3758 1 7 ~ke 
: 3762 4 7 me 
- 3768
: 3783 1 7 It 
: 3786 2 9 takes 
: 3790 1 10 a 
: 3794 6 10 man 
: 3803 3 9 to 
: 3810 6 12 do 
: 3819 1 7 i
: 3821 2 9 ~t 
- 3825
: 3845 2 12 If 
: 3849 2 12 what 
: 3853 2 12 you 
: 3858 6 12 get 
: 3867 1 10 i
: 3870 2 10 ~s 
: 3874 4 10 what 
: 3882 2 9 you
: 3886 1 7 ~ 
: 3891 5 7 see 
- 3898
: 3910 3 9 Then 
: 3914 2 10 I 
: 3918 2 10 don’t 
: 3922 5 10 want 
: 3930 4 9 your 
: 3942 3 12 kind 
: 3948 1 7 o
: 3950 1 9 ~f 
: 3952 1 7 lo
: 3954 53 5 ~ve 
- 4009
F 4137 1 16 Ooh
F 4139 17 17 ~
F 4158 4 17 ~
F 4164 1 14 ~
F 4167 4 12 ~! 
- 4173
F 4261 2 10 And 
F 4265 3 12 I 
F 4270 3 12 don’t 
F 4274 5 12 want 
F 4281 5 12 your 
F 4289 6 12 kind 
F 4298 5 12 of 
F 4305 41 12 love 
- 4348
F 4408 1 16 Ooh
F 4410 17 17 ~
F 4429 4 17 ~
F 4435 1 14 ~
F 4438 4 12 ~! 
E
