#ARTIST:Steve Miller Band
#TITLE:Jet Airliner
#MP3:Steve Miller Band - Jet Airliner.mp3
#CREATOR:Fepo
#COVER:Steve Miller Band - Jet Airliner [CO].jpg
#BACKGROUND:Steve Miller Band - Jet Airliner [BG].jpg
#GENRE:Pop
#YEAR:1977
#LANGUAGE:English
#BPM:243.45
#GAP:63300
#VIDEO:a=jlFXhigvTvM,co=https://img.cdandlp.com/2020/03/imgL/3000654.jpg,bg=miller-steve-band-5068f514c54ca.jpg
: 2069 2 0 in’ 
: 2073 7 0 down 
: 2082 2 2 in 
: 2086 2 4 the 
: 2090 2 2 ci
: 2094 2 0 ty 
- 2098
: 2109 4 9 Big 
: 2115 4 12 ol’ 
: 2121 6 12 jet 
: 2130 4 12 air
: 2137 7 12 li
: 2146 3 9 ner 
- 2151
: 2173 2 -2 Don’t 
: 2177 2 0 car
: 2181 2 0 ry 
: 2185 2 0 me 
: 2189 2 0 too 
: 2193 2 0 far 
: 2197 2 -2 a
: 2201 3 0 way
: 2206 4 0 ~ 
- 2212
: 2226 2 4 Oh, 
: 2230 2 2 oh, 
: 2234 2 0 oh 
* 2238 2 0 big 
* 2242 5 0 ol’ 
* 2249 7 0 jet 
: 2258 4 0 air
: 2265 6 4 li
: 2273 3 0 ne
: 2277 4 -5 ~r 
- 2283
: 2290 2 -3 ’Cause 
: 2294 2 0 it’s 
: 2298 9 2 here 
: 2310 2 0 that 
: 2314 2 0 I’ve 
: 2318 2 2 got 
: 2322 2 0 to
: 2325 3 -3 ~ 
: 2330 4 2 stay
: 2335 4 0 ~ 
- 2341
: 2353 2 4 Oh, 
: 2357 2 2 oh, 
: 2361 2 0 oh 
* 2365 2 0 big 
* 2369 5 0 ol’ 
* 2376 7 0 jet 
: 2385 4 0 air
: 2392 6 4 li
: 2400 3 0 ne
: 2404 4 -5 ~r 
- 2410
: 2429 2 -2 Don’t 
: 2433 2 0 car
: 2437 2 0 ry 
: 2441 2 0 me 
: 2445 2 0 too 
: 2449 2 0 far 
: 2453 2 -2 a
: 2457 3 0 way
: 2462 4 0 ~ 
- 2468
: 2483 2 4 Oh, 
: 2487 2 2 oh, 
: 2491 2 0 oh 
* 2495 2 0 big 
* 2499 5 0 ol’ 
* 2506 7 0 jet 
: 2515 4 0 air
: 2522 6 4 li
: 2530 3 0 ne
: 2534 4 -5 ~r 
- 2540
: 2544 2 -3 ’Cause 
: 2548 2 0 it’s 
: 2552 9 2 here 
: 2564 2 0 that 
: 2568 2 0 I’ve 
: 2572 2 2 got 
: 2576 2 0 to
: 2579 3 -3 ~ 
: 2584 4 2 stay
: 2589 4 0 ~ 
- 2595
: 2619 5 9 Yeah, 
: 2627 5 9 yeah 
: 2635 5 9 yeah, 
: 2643 5 7 yeah 
- 2650
: 2651 3 9 Big 
: 2656 4 12 ol’ 
: 2663 6 12 jet 
: 2672 4 12 air
: 2679 7 15 li
: 2688 3 9 ner 
- 2693
: 2714 2 -2 Don’t 
: 2718 2 0 car
: 2722 2 0 ry 
: 2726 2 0 me 
: 2730 2 0 too 
: 2734 2 0 far 
: 2738 2 -2 a
: 2742 3 0 way
: 2747 4 0 ~ 
- 2753
: 2766 2 4 Oh, 
: 2770 2 2 oh, 
: 2774 2 0 oh 
* 2778 2 0 big 
* 2782 5 0 ol’ 
* 2789 7 0 jet 
: 2798 4 0 air
: 2805 6 4 li
: 2813 3 0 ne
: 2817 4 -5 ~r 
- 2823
: 2829 2 -3 ’Cause 
: 2833 2 0 it’s 
: 2837 9 2 here 
: 2849 2 0 that 
: 2853 2 0 I’ve 
: 2857 2 2 got 
: 2861 2 0 to
: 2864 3 -3 ~ 
: 2869 4 2 stay
: 2874 4 0 ~ 
- 2880
: 2892 2 4 Oh, 
: 2896 2 2 oh, 
: 2900 2 0 oh 
* 2904 2 0 big 
* 2908 5 0 ol’ 
* 2915 7 0 jet 
: 2924 4 0 air
: 2931 6 4 li
: 2939 3 0 ne
: 2943 4 -5 ~r 
- 2949
: 2968 2 10 Car
: 2972 2 12 ry 
: 2976 2 12 me 
: 2980 4 12 to 
: 2986 6 14 my 
: 2994 3 12 ho
: 2999 3 7 ~me 
- 3004
: 3019 2 4 Oh, 
: 3023 2 2 oh, 
: 3027 2 0 oh 
* 3031 2 0 big 
* 3035 5 0 ol’ 
* 3042 7 0 jet 
: 3051 4 0 air
: 3058 6 4 li
: 3066 3 0 ne
: 3070 4 -5 ~r 
E
