#ARTIST:Volbeat
#TITLE:Maybellene i hofteholder
#MP3:Volbeat - Maybellene i hofteholder.mp3
#CREATOR:borax
#GENRE:Rock
#YEAR:2008
#LANGUAGE:English
#BPM:372
#GAP:3220
#VIDEO:v=I5O2eetp5tw,co=https://is1-ssl.mzstatic.com/image/thumb/Music/27/56/d3/mzi.kjwnuslf.jpg/5000x5000bb.jpg,bg=volbeat-61afbefea9d77.jpg
: 3912 3 14 on
: 3916 32 12 e. 
- 3950
: 4156 4 16 I 
: 4164 8 16 flicked 
: 4176 8 14 the 
: 4188 8 17 swi
: 4200 16 16 tch 
: 4220 4 14 at 
: 4228 7 14 mon
: 4236 8 13 day 
: 4248 20 13 night 
- 4270
: 4280 7 9 Oh 
: 4288 11 16 May
: 4300 11 17 be
: 4312 11 17 len
: 4324 4 16 ne 
: 4332 4 16 I’m 
: 4340 8 14 so 
: 4352 11 14 so
: 4364 11 16 rry 
: 4376 15 17 that 
: 4392 12 16 I 
- 4406
: 4408 7 16 Didn’t 
: 4416 8 14 see 
: 4428 8 16 it 
: 4440 8 16 co
: 4452 16 14 ming. 
- 4470
: 4472 7 14 And 
: 4480 8 14 now 
: 4492 7 12 the 
: 4500 3 12 s
: 4504 3 11 k
: 4508 16 12 y, 
: 4536 4 9 I 
: 4544 4 16 filled 
: 4552 12 17 with 
: 4568 12 17 pray
: 4584 8 16 ers. 
- 4594
: 4596 7 14 Oh 
: 4604 12 14 ba
: 4620 8 14 by 
: 4632 3 16 I’m 
: 4636 8 17 so
: 4648 7 16 rry 
: 4656 7 12 I 
: 4664 7 14 was 
: 4672 7 14 bli
: 4680 36 12 nd. 
E
