#ARTIST:Hilltop Hoods feat. Adrian Eagle
#TITLE:Clark Griswold
#MP3:Hilltop Hoods feat. Adrian Eagle - Clark Griswold.mp3
#CREATOR:DoubleDee
#COVER:Hilltop Hoods feat. Adrian Eagle - Clark Griswold [CO].jpg
#BACKGROUND:Hilltop Hoods feat. Adrian Eagle - Clark Griswold [BG].jpg
#YEAR:2018
#LANGUAGE:English
#BPM:384
#GAP:10510
#VIDEO:v=3_XVw0235gY,co=https://pbs.twimg.com/media/Dh8OAoLU8AArmKB.jpg,bg=hilltop-hoods-55ee7ba60b70e.jpg,preview=75.54,medley=504-2168
R 3009 2 11 on
R 3013 2 10 ly 
R 3017 2 12 hu
R 3021 3 13 man 
R 3025 3 10 but 
R 3029 2 10 I’m 
R 3033 2 12 do
R 3037 2 12 ing 
R 3041 2 12 my 
R 3045 4 10 best 
- 3051
R 3053 2 11 Un
R 3061 2 12 cer
R 3065 3 12 tain 
R 3069 2 10 if 
R 3073 2 12 all 
R 3077 2 10 the 
R 3081 2 12 hurt
R 3085 2 12 ing 
R 3088 2 10 is 
R 3092 3 10 worth 
R 3101 2 10 it 
- 3110
: 3113 3 11 Yeah 
: 3117 2 12 I 
: 3121 3 10 know 
: 3125 2 8 I 
: 3129 2 10 could
: 3133 2 8 n’t 
: 3137 5 10 be 
: 3145 2 10 fur
: 3149 2 10 ther 
: 3153 2 12 from 
: 3157 3 8 per
: 3165 2 5 fect 
- 3177
: 3208 9 8 Whoa
: 3218 5 7 ~
: 3224 4 1 ~ 
: 3232 4 5 whoa
: 3240 7 7 ~
: 3249 5 5 ~
: 3255 4 -2 ~ 
: 3264 5 3 whoa
: 3272 7 5 ~
: 3281 6 3 ~ 
* 3296 5 0 oh
* 3303 4 1 ~
* 3308 5 3 ~
* 3314 4 1 ~ 
* 3321 3 0 oh 
- 3326
: 3328 6 12 I’ve 
: 3336 7 10 al
: 3344 4 12 ways 
: 3352 5 10 tried 
: 3360 6 12 to 
: 3368 5 10 do 
: 3376 5 12 the 
: 3384 5 10 right 
: 3392 5 12 thing 
: 3400 2 10 in 
: 3404 5 5 my 
: 3412 5 5 life 
- 3427
: 3440 6 5 Take 
: 3448 3 5 care 
: 3452 2 5 of 
: 3456 6 12 my 
: 3464 5 10 house, 
: 3472 5 12 my 
: 3480 4 10 pi
: 3488 4 12 cket 
: 3496 4 10 fence, 
: 3504 3 8 my 
: 3512 5 10 chil
: 3520 7 12 dren 
: 3528 2 12 and 
: 3532 5 12 my 
: 3540 2 13 wi
: 3543 8 12 ~fe 
- 3557
: 3560 2 3 On 
: 3564 2 3 my 
: 3568 4 3 way 
: 3576 11 5 ho
: 3588 11 15 ~
: 3600 7 13 ~
: 3608 9 12 ~me 
: 3620 11 13 woah
: 3632 7 12 ~
: 3640 10 8 ~
: 3652 11 10 ~
