#ARTIST:Eminem
#TITLE:Rap God
#MP3:Eminem - Rap God.mp3
#CREATOR:UnisusJr
#YEAR:2013
#LANGUAGE:English
#BPM:600
#GAP:1140
#VIDEO:v=XbGs_qK2PQA,co=rap-god-5794175889b95.jpg,bg=eminem-5e80e3fc39802.jpg,tags=explicit
#END:362000
: 2634 5 34 fag
: 2640 4 33 gots 
: 2646 4 33 and 
: 2651 6 34 crack 
: 2658 2 33 it 
: 2661 2 33 in 
: 2664 8 34 half 
- 2672
: 2674 3 36 On
: 2678 2 38 ly 
: 2681 4 38 re
: 2686 3 34 a
: 2690 6 34 lized 
: 2697 3 34 it 
: 2702 3 34 was 
: 2707 5 33 i
: 2713 7 33 ro
: 2721 6 31 nic 
- 2729
: 2731 2 26 I 
: 2734 2 24 was 
: 2737 9 26 signed 
: 2747 4 26 to 
: 2753 8 26 Af
: 2762 4 24 ter
: 2767 10 26 math 
: 2780 7 26 af
: 2788 2 24 ter 
: 2791 3 22 the 
: 2795 15 22 fact 
- 2816
: 2819 3 26 How 
: 2823 5 26 could 
: 2829 3 24 I 
: 2833 5 22 not 
: 2839 10 22 blow, 
- 2850
: 2852 3 26 All 
: 2856 2 26 I 
: 2859 3 26 do 
: 2864 2 26 is 
: 2868 5 29 drop 
: 2877 6 29 F-
: 2884 14 22 bombs, 
: 2899 4 29 feel 
: 2904 3 26 my 
: 2908 7 26 wrath 
: 2916 2 26 of 
: 2919 2 26 at
: 2922 9 26 tack 
- 2932
: 2934 5 27 Rap
: 2940 5 22 pers 
: 2946 2 24 are 
: 2949 6 26 ha
: 2956 3 24 ving 
: 2960 2 26 a 
: 2963 6 26 rough 
: 2973 6 26 time 
: 2981 3 24 pe
: 2985 4 24 ri
: 2990 5 22 od, 
- 2995
: 2997 5 26 Here’s 
: 3003 3 24 a 
: 3007 5 22 ma
: 3013 6 22 xi 
: 3022 11 22 pad 
- 3035
: 3037 4 24 It’s 
: 3042 4 26 ac
: 3047 4 24 tual
: 3052 4 22 ly 
: 3057 3 22 di
: 3061 6 26 sa
: 3068 4 22 strou
: 3073 5 22 sly 
: 3079 11 22 bad 
: 3096 2 24 for 
: 3099 2 24 the 
: 3102 7 26 wack 
- 3109
: 3110 5 24 While 
: 3116 4 24 I’m 
: 3121 4 26 mas
: 3126 4 24 ter
: 3131 3 24 ful
: 3135 2 24 ly 
: 3138 3 24 con
: 3142 7 26 struc
: 3150 9 24 ting 
: 3160 5 26 this 
: 3166 7 26 mas
: 3174 4 27 ter
: 3179 17 27 piece 
- 3196
: 3198 4 36 Cause 
: 3203 5 38 I’m 
: 3209 3 38 be
: 3213 8 41 gin
: 3222 9 39 ning 
: 3232 3 38 to 
: 3236 8 38 feel 
: 3245 7 36 like 
: 3256 4 38 a 
: 3264 11 38 Rap 
: 3278 11 31 God, 
: 3295 10 38 Rap 
: 3311 11 31 God 
- 3328
: 3330 4 36 All 
: 3335 5 38 my 
: 3342 8 41 peo
: 3351 6 39 ple 
: 3359 5 38 from 
: 3365 3 38 the 
: 3369 9 38 front 
: 3380 6 36 to 
: 3388 4 38 the 
: 3393 12 38 back 
: 3409 12 31 nod, 
: 3426 10 38 back 
: 3440 11 31 nod 
- 3452
: 3454 4 36 Now 
: 3459 3 38 who 
: 3463 9 41 thinks 
: 3473 5 36 their 
: 3479 14 38 arms 
: 3494 4 38 are 
: 3499 6 36 long 
: 3506 1 36 e
: 3508 6 36 nough 
: 3515 3 38 to 
: 3520 15 38 slap
: 3538 13 31 box, 
: 3554 10 38 slap
: 3568 11 31 box 
- 3579
: 3581 3 38 Let 
: 3585 2 38 me 
: 3588 5 38 show 
: 3594 4 41 you 
: 3599 8 36 main
: 3608 9 39 tai
: 3618 7 38 ning 
: 3628 5 38 this 
: 3635 6 36 shit 
: 3644 7 38 ain’t 
: 3653 10 38 that 
: 3666 16 31 hard, 
: 3686 10 38 That 
: 3700 9 31 hard 
- 3709
: 3710 3 38 Ev
: 3714 3 38 ’ry
: 3718 2 38 bo
: 3721 3 38 dy 
: 3725 4 38 want 
: 3730 3 38 the 
: 3734 8 41 key 
: 3743 3 39 and 
: 3747 1 39 the 
: 3750 6 38 se
: 3757 5 38 cret 
: 3763 3 36 to 
: 3768 6 36 rap 
: 3775 3 34 im
: 3779 3 33 mor
: 3783 6 33 ta
: 3790 4 31 li
: 3795 7 33 ty 
- 3803
: 3805 4 31 Like 
: 3810 4 33 I 
: 3815 13 33 have 
: 3830 7 26 got 
- 3837
: 3838 3 38 Well, 
: 3842 2 38 to 
: 3845 2 38 be 
: 3848 9 41 truth
: 3858 3 38 ful 
: 3862 3 36 the 
: 3866 5 38 blue
: 3872 10 36 print’s 
- 3882
: 3884 6 38 Sim
: 3891 5 38 ply 
: 3897 9 39 rage 
: 3907 6 38 and 
: 3914 7 41 youth
: 3922 3 38 ful 
: 3927 4 36 ex
: 3932 6 38 u
: 3939 8 36 berance 
- 3953
: 3955 2 38 E
: 3958 2 38 very
: 3961 3 38 bo
: 3965 2 38 dy 
: 3968 7 38 loves 
: 3976 3 38 to 
: 3980 6 41 root 
: 3987 3 38 for 
: 3991 2 38 a 
: 3994 6 39 nui
: 4001 8 38 sance 
- 4011
: 4013 2 36 Hit 
: 4016 2 34 the 
: 4019 6 31 earth 
: 4026 5 33 like 
: 4032 4 34 an 
: 4037 6 31 as
: 4044 6 33 teroid 
- 4051
: 4053 4 34 Did 
: 4058 5 31 no
: 4064 4 31 thing 
: 4069 3 33 but 
: 4073 10 33 shoot 
: 4084 3 33 for 
: 4088 2 34 the 
: 4091 5 36 moon 
: 4097 11 38 since 
- 4118
: 4132 6 34 M
: 4139 9 33 C’s 
: 4149 5 31 get 
: 4155 5 33 ta
: 4161 5 31 ken 
: 4167 2 31 to 
: 4170 9 33 school 
: 4180 3 31 with 
: 4184 4 31 this 
: 4190 4 33 mu
: 4195 7 31 sic 
- 4203
: 4205 4 31 Cause 
: 4210 3 31 I 
: 4214 6 33 use 
: 4221 4 31 it 
: 4228 5 31 as 
: 4234 3 31 a 
: 4238 3 31 ve
: 4242 3 31 hi
: 4246 3 31 cle 
: 4250 3 31 to 
: 4254 8 41 ’bus 
: 4264 3 33 the 
: 4268 9 31 rhyme’ 
- 4277
: 4279 3 29 Now 
: 4283 3 29 I 
: 4287 3 31 lead 
: 4291 2 31 a 
: 4294 5 31 new 
: 4300 8 34 school 
: 4309 5 34 full 
: 4315 2 34 of 
: 4318 7 36 stu
: 4326 8 38 dents 
- 4346
: 4350 7 41 Me, 
: 4358 4 38 I’m 
: 4363 2 38 a 
: 4366 9 38 pro
: 4376 5 41 duct 
: 4382 3 41 of 
: 4386 5 36 Ra
: 4392 6 38 kim, 
: 4406 7 38 La
: 4414 6 38 kim 
: 4421 7 38 Sha
: 4429 11 38 bazz, 
: 4441 4 41 2
: 4446 10 36 Pac, 
: 4457 7 38 N- 
- 4467
: 4469 5 38 Dou
: 4475 4 38 ble
: 4480 7 38 U
: 4488 7 38 .A, 
: 4496 8 38 Cube, 
: 4505 5 41 Hey 
: 4511 9 36 Doc, 
: 4521 6 38 Ren 
: 4528 4 38 Yel
: 4533 3 38 la, 
: 4537 5 39 Ea
: 4543 8 38 zy, 
: 4552 10 38 thank 
: 4563 7 38 you, 
: 4571 4 41 they 
: 4576 5 36 got 
: 4583 10 38 Slim 
- 4600
: 4603 5 38 In
: 4609 4 38 spi
: 4614 5 38 red 
: 4620 3 38 e
: 4624 8 38 nough 
: 4633 4 38 to 
: 4638 4 38 one 
: 4643 4 38 day 
: 4648 10 38 grow 
: 4659 5 38 up, 
- 4664
: 4666 8 38 Blow 
: 4675 4 38 up 
: 4682 7 38 and 
: 4690 5 38 be 
: 4696 3 38 in 
: 4700 3 41 a 
: 4704 1 41 po
: 4706 3 36 si
: 4710 12 38 tion 
- 4725
: 4727 4 36 To 
: 4732 7 38 meet 
: 4740 7 38 Run 
: 4748 3 38 D
: 4752 2 38 M
: 4755 8 38 C, 
: 4766 3 41 in
: 4770 11 36 duct 
: 4782 8 38 him 
- 4790
: 4791 5 38 In
: 4797 3 38 to 
: 4801 2 38 the 
: 4804 5 38 mo
: 4810 5 38 ther
: 4816 10 38 fuc
: 4827 10 41 kin’ 
: 4838 6 36 Rock 
: 4845 10 38 n’ 
- 4861
: 4863 6 38 Roll 
: 4870 8 39 Hall 
: 4879 5 38 of 
: 4885 9 39 Fame 
- 4895
: 4897 2 39 E
: 4900 4 38 ven 
: 4905 5 39 though 
: 4911 6 39 I’ll 
: 4918 8 38 walk 
: 4927 3 38 in 
: 4931 4 38 the 
: 4936 8 39 church 
: 4945 5 38 and 
: 4951 8 39 burst 
: 4960 2 38 in 
: 4963 2 38 a 
: 4966 8 39 ball 
: 4975 7 38 of 
: 4983 8 39 flames 
- 4991
: 4992 2 38 The 
: 4995 1 39 on
: 4997 2 39 ly 
: 5001 7 39 Hall 
: 5009 5 39 of 
: 5015 9 39 Fame 
: 5025 5 39 I’ll 
: 5031 5 39 be 
: 5037 3 39 in
: 5041 5 39 duc
: 5047 3 39 ted 
: 5052 6 39 in 
: 5059 3 39 is 
: 5063 2 39 the 
: 5066 6 41 al
: 5073 6 39 co
: 5080 9 38 hol 
: 5090 5 38 of 
: 5096 9 36 fame 
- 5105
: 5106 3 38 On 
: 5110 2 38 the 
: 5113 8 39 wall 
: 5122 4 38 of 
: 5127 21 26 shame 
- 5152
: 5154 3 38 You 
: 5158 13 39 fags 
: 5172 2 38 think 
: 5175 3 36 it’s 
: 5179 8 38 all 
: 5188 4 38 a 
: 5194 16 31 game 
- 5215
: 5217 5 38 ’Til 
: 5223 4 38 I 
: 5228 7 39 walk 
: 5236 3 36 a 
: 5240 11 38 flock 
: 5252 4 36 of 
: 5257 18 38 flames 
- 5285
: 5295 4 38 Off 
: 5300 3 38 a 
: 5304 12 39 plank, 
: 5317 6 34 and 
: 5329 6 33 tell 
: 5336 5 36 me 
: 5342 2 38 what 
: 5345 2 39 in 
: 5348 4 36 the 
: 5353 5 33 fuck 
: 5359 4 34 are 
: 5365 6 36 you 
: 5372 10 41 thin
: 5383 10 38 king 
- 5396
: 5398 2 24 Lit
: 5401 2 24 tle 
: 5405 8 26 gay 
: 5414 3 22 loo
: 5418 4 22 kin’ 
: 5423 9 18 boy 
- 5436
: 5438 7 26 So 
: 5446 6 26 gay 
- 5452
: 5453 3 24 I 
: 5457 3 24 can 
: 5461 7 26 bare
: 5469 4 26 ly 
: 5476 4 24 say 
: 5481 3 26 it 
: 5486 2 24 with 
: 5489 1 24 a 
: 5491 10 26 straight 
: 5502 8 26 face 
: 5511 4 22 loo
: 5516 3 22 king, 
