#ARTIST:Danny Wilson
#TITLE:Mary’s Prayer
#MP3:Danny Wilson - Mary’s Prayer.mp3
#CREATOR:bohning
#YEAR:1987
#LANGUAGE:English
#BPM:270.26
#GAP:1120
#VIDEO:v=7hqgC3W9GUI,co=marys-prayer-66eff84ac4af0.jpg,bg=https://i.ytimg.com/vi/7hqgC3W9GUI/maxresdefault.jpg
: 2323 2 2 ven 
- 2327
: 2331 7 2 For 
: 2343 2 2 me
: 2346 3 4 ~ 
- 2351
: 2365 2 4 If 
: 2370 3 5 you 
: 2374 2 4 want 
: 2379 1 2 the 
: 2383 3 2 fruit 
: 2390 1 4 to 
: 2394 3 2 fa
: 2398 2 0 ~ll 
- 2402
: 2430 2 2 Have 
: 2434 1 4 to 
: 2437 2 2 give 
: 2442 1 0 the 
: 2447 1 0 tree
: 2449 1 1 ~
: 2451 2 2 ~ 
: 2454 2 2 a 
: 2460 1 2 sha
: 2462 3 4 ~ke 
- 2467
: 2494 1 4 If 
: 2498 2 5 you 
: 2502 1 5 sha
: 2504 1 4 ~ke 
: 2507 1 2 the 
: 2511 9 2 tree 
: 2523 1 2 too
: 2525 6 4 ~ 
: 2534 2 0 ha
: 2538 7 2 ~rd 
- 2547
: 2558 1 0 Bou
* 2560 2 2 ~gh 
: 2564 2 4 is 
: 2570 2 2 gon
: 2574 3 0 na 
: 2580 1 2 brea
: 2582 7 4 ~
: 2590 2 2 ~
: 2593 8 0 ~k 
- 2603
: 2621 2 4 If 
: 2625 2 5 I 
: 2629 3 7 can’t 
: 2637 3 7 reach 
: 2646 1 5 the 
: 2650 1 5 to
: 2652 4 4 ~p 
: 2658 2 2 of 
: 2662 1 0 the 
: 2666 8 2 tree 
- 2676
: 2687 1 0 Ma
: 2689 1 2 ~
: 2691 3 4 ry 
: 2695 2 2 you 
: 2699 2 0 can 
: 2704 2 0 ho
: 2707 2 2 ~ld 
: 2711 4 2 me 
: 2716 2 2 up 
: 2724 1 2 the
: 2726 3 4 ~
: 2730 1 2 ~
: 2733 1 0 ~re 
- 2736
: 2749 3 4 What 
: 2753 3 5 I 
: 2758 3 4 would
: 2762 2 2 n’t 
: 2766 3 2 give 
: 2773 2 4 to 
: 2778 1 4 be
: 2780 1 2 ~
: 2782 2 0 ~ 
- 2786
: 2794 1 -1 Whe
: 2796 2 0 ~n 
: 2799 1 -3 I
: 2801 4 -1 ~ 
: 2807 1 -1 wa
: 2809 2 0 ~s 
: 2815 1 2 Ma
: 2817 1 3 ~
: 2819 2 4 ~
: 2823 2 2 ry
: 2826 2 0 ~’s 
: 2831 1 0 pray
: 2833 1 -1 ~
: 2835 15 0 ~er 
- 2852
: 2872 2 0 So 
: 2876 1 4 if 
: 2880 2 5 I 
: 2884 1 6 say
: 2886 3 7 ~ 
: 2893 1 5 sa
: 2895 8 7 ~
: 2904 1 5 ~
: 2906 1 0 ~ve 
: 2909 4 -1 me 
- 2915
: 2925 10 7 Sa
: 2936 2 0 ~ve 
: 2941 1 -1 me
: 2943 4 0 ~ 
- 2949
: 2956 1 6 Be
: 2958 5 7 ~ 
: 2964 1 5 the 
: 2969 7 4 light 
: 2977 2 2 in 
: 2981 5 0 my 
: 2989 2 2 eye
: 2992 2 4 ~
: 2995 1 0 ~s 
- 2998
: 3001 2 0 And 
: 3004 2 4 if 
: 3008 2 5 I 
: 3012 1 5 say
: 3014 4 7 ~ 
: 3021 1 5 te
: 3023 8 7 ~
: 3032 1 0 ~n 
: 3036 2 0 hai
: 3039 5 -1 ~l 
- 3046
: 3052 1 5 Ma
: 3054 1 6 ~
: 3056 7 7 ~
: 3064 2 0 ~
: 3068 7 0 ry’s 
- 3077
: 3085 7 7 Leave 
: 3093 2 5 a 
: 3097 1 4 li
: 3099 5 5 ~ght 
: 3105 6 4 on 
: 3112 2 5 in 
: 3117 2 4 hea
: 3121 2 2 ven 
- 3125
: 3148 11 7 Sa
: 3161 1 0 ~ve 
: 3164 7 -1 me 
- 3173
: 3180 12 7 Save 
: 3196 6 4 me 
- 3204
: 3213 7 7 Be 
: 3221 1 5 the 
: 3225 7 4 light 
: 3234 1 2 in 
: 3238 4 0 my 
: 3245 2 2 eye
: 3248 3 4 ~s 
- 3253
: 3263 1 4 If 
: 3265 1 5 I 
: 3269 6 7 say 
: 3277 2 5 te
: 3280 6 7 ~
: 3288 1 0 ~n 
: 3293 7 -1 hail 
- 3302
: 3309 1 5 Ma
: 3311 9 7 ~
: 3321 1 4 ~
: 3325 1 -1 ry
: 3327 4 0 ~’s 
- 3333
: 3341 7 7 Leave 
: 3350 1 5 a 
: 3354 6 5 light 
: 3362 5 4 on 
: 3369 2 5 in 
: 3373 3 4 hea
: 3378 2 2 ven 
- 3382
: 3402 2 7 Sa
: 3405 2 9 ~
: 3408 2 7 ~
: 3412 3 0 ~ve 
: 3421 5 -1 me 
- 3428
: 3437 2 2 Sa
: 3440 4 4 ~
: 3445 3 5 ~ve 
: 3451 1 2 me
: 3453 3 4 ~
: 3457 2 2 ~
: 3460 1 0 ~ 
- 3463
: 3466 9 4 Be 
: 3477 2 2 the 
: 3481 3 5 light 
: 3486 2 4 in 
: 3490 3 4 my
: 3494 3 2 ~ 
: 3498 2 2 eye
: 3501 3 0 ~s 
- 3506
: 3517 3 4 What 
: 3522 3 5 I 
: 3526 3 4 woul
: 3531 1 2 dn’t 
: 3534 3 2 give 
: 3541 3 0 to 
: 3546 6 0 be 
- 3554
: 3561 3 0 When 
: 3565 1 -3 I
: 3567 5 -1 ~ 
: 3573 4 0 was 
: 3582 1 2 Ma
: 3584 4 4 ~
: 3590 2 2 ry
: 3593 2 0 ~’s 
: 3599 10 0 prayer 
- 3611
: 3644 3 4 What 
: 3649 3 5 I 
: 3654 2 5 woul
: 3658 1 2 dn’t 
: 3661 3 2 give 
: 3669 2 4 to 
: 3673 2 2 be
: 3676 4 4 ~ 
- 3682
: 3688 1 4 When 
: 3690 1 4 I
: 3692 3 7 ~
: 3696 1 5 ~
: 3698 2 4 ~ 
: 3702 2 4 was 
: 3709 2 2 Ma
* 3712 3 4 ~
: 3717 3 2 ry
* 3721 2 0 ~’s 
: 3727 12 0 prayer 
- 3741
: 3786 1 7 Sa
: 3788 2 9 ~
: 3791 2 7 ~
: 3795 2 4 ~
: 3799 2 2 ~ve 
: 3804 8 0 me 
- 3814
: 3826 5 0 When 
* 3833 1 -3 I
* 3836 9 -1 ~ 
: 3847 12 0 was 
* 3863 2 2 Ma
: 3867 10 4 ~
* 3879 1 2 ry
: 3882 10 0 ~’s 
* 3899 2 -1 pray
: 3902 30 0 ~er 
E
