#ARTIST:blink-182
#TITLE:The Rock Show
#MP3:blink-182 - The Rock Show.mp3
#CREATOR:Canni, Loewy159
#YEAR:2001
#LANGUAGE:English
#BPM:386
#GAP:31980
#VIDEO:v=z7hhDINyBP0,co=the-rock-show-5e3f8064a0f05.jpg,bg=blink-182-4eaea7576e7f3.jpg
* 2908 2 -1 at 
* 2912 2 -3 the 
* 2916 5 -1 rock 
* 2923 11 -3 show 
- 2959
: 3020 2 1 With 
: 3023 2 2 the 
: 3029 6 2 girl 
: 3037 2 -1 at 
: 3041 2 -3 the 
: 3044 5 -1 rock 
: 3052 13 -3 show 
- 3090
: 3148 2 1 With 
: 3151 2 2 the 
: 3157 6 2 girl 
: 3165 2 -1 at 
: 3169 2 -3 the 
: 3172 5 -1 rock 
: 3180 13 -3 show 
- 3202
: 3205 12 4 I’ll 
: 3219 16 2 ne
: 3237 17 1 ver 
: 3268 13 4 for
: 3284 13 2 get 
: 3302 13 -1 to
: 3319 9 -3 night 
- 3353
: 3403 2 1 With 
: 3406 2 2 the 
: 3412 6 2 girl 
: 3420 2 -1 at 
: 3424 2 -3 the 
: 3427 5 -1 rock 
: 3436 12 -3 show 
- 3457
* 3460 14 4 I’ll 
* 3476 14 2 ne
* 3492 17 1 ver 
: 3523 13 4 for
: 3539 13 2 get 
: 3557 13 -1 to
: 3574 9 -3 night 
- 3608
: 3661 2 1 With 
: 3664 2 2 the 
: 3670 6 2 girl 
: 3678 2 -1 at 
: 3682 2 -3 the 
: 3685 5 -1 rock 
: 3694 12 -3 show 
- 3714
: 3717 14 4 I’ll 
: 3733 14 2 ne
: 3749 17 1 ver 
: 3780 13 4 for
: 3796 13 2 get 
: 3814 13 -1 to
: 3831 9 -3 night 
E
